species,alive,dead,alv_prop,ded_prop,total_prop,site,uid,date,factor,loc_count,geometry,lon_gda94,lat_gda94,count,avg_alive,avg_dead,avg_total,cor_av_liv,cor_av_ded,cor_av_tot,co_ef_nme,leaves,leaves_r2,twigs,bark,bark_r2,wood,wood_r2,branches,branches_r2,stems,stems_r2,agb,agb_r2,root,root_r2,tot_bm,total_alv_ba,total_ded_ba,total_ba,c_leaves,c_twigs,c_bark,c_wood,c_branches,c_stems,c_agb,c_roots
Buchorvet,11.0,0.0,4.545454545454546,0.0,4.365079365079365,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.7857142857142857,0.0,0.7857142857142857,73.07142857142857,76.21428571428571,297.7857142857143,968.7857142857142,734.6428571428571,1266.5714285714284,2074.285714285714,425.85714285714283
C. armstrongii,3.0,0.0,1.2396694214876034,0.0,1.1904761904761905,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.2142857142857143,0.0,0.21428571428571427,19.928571428571427,20.785714285714285,81.21428571428571,264.2142857142857,200.35714285714283,345.4285714285714,565.7142857142857,116.14285714285714
C. fraseri,2.0,0.0,0.8264462809917356,0.0,0.7936507936507936,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.14285714285714285,0.0,0.14285714285714285,13.285714285714285,13.857142857142856,54.14285714285714,176.14285714285714,133.57142857142856,230.28571428571428,377.1428571428571,77.42857142857143
Corymbia sp.,1.0,0.0,0.4132231404958678,0.0,0.3968253968253968,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.07142857142857142,0.0,0.07142857142857142,6.642857142857142,6.928571428571428,27.07142857142857,88.07142857142857,66.78571428571428,115.14285714285714,188.57142857142856,38.714285714285715
E. chlorostachys,38.0,2.0,15.702479338842975,20.0,15.873015873015872,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Erch,154,0.75,160,401,0.95,1044,0.92,814,0.62,1445,0.93,2413,0.82,542,0.57,2955,2.714285714285714,0.14285714285714288,2.8571428571428568,439.99999999999994,457.1428571428571,1145.7142857142856,2982.8571428571427,2325.7142857142853,4128.571428571428,6894.285714285714,1548.5714285714284
E. miniata,18.0,0.0,7.43801652892562,0.0,7.142857142857142,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Eumi,50,0.96,52,218,0.92,1829,0.95,375,0.79,2047,0.96,2472,0.96,542,0.57,3014,1.2857142857142856,0.0,1.2857142857142856,64.28571428571428,66.85714285714285,280.2857142857143,2351.5714285714284,482.1428571428571,2631.8571428571427,3178.2857142857138,696.8571428571428
E. tetrodonta,98.0,4.0,40.49586776859504,40.0,40.476190476190474,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Eute,122,0.84,127,341,0.99,2161,0.93,799,0.85,2502,0.95,3403,0.97,542,0.57,3945,7.0,0.28571428571428575,7.285714285714286,888.8571428571429,925.2857142857142,2484.4285714285716,15744.42857142857,5821.285714285714,18228.85714285714,24793.285714285714,3948.8571428571427
F. achleata,3.0,0.0,1.2396694214876034,0.0,1.1904761904761905,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.2142857142857143,0.0,0.21428571428571427,19.928571428571427,20.785714285714285,81.21428571428571,264.2142857142857,200.35714285714283,345.4285714285714,565.7142857142857,116.14285714285714
L. humilis,5.0,0.0,2.066115702479339,0.0,1.984126984126984,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.35714285714285715,0.0,0.3571428571428571,33.21428571428571,34.64285714285714,135.35714285714283,440.3571428571428,333.9285714285714,575.7142857142857,942.8571428571428,193.57142857142856
P. careya,6.0,0.0,2.479338842975207,0.0,2.380952380952381,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.4285714285714286,0.0,0.42857142857142855,39.857142857142854,41.57142857142857,162.42857142857142,528.4285714285714,400.71428571428567,690.8571428571428,1131.4285714285713,232.28571428571428
P. pubescens,1.0,0.0,0.4132231404958678,0.0,0.3968253968253968,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.07142857142857142,0.0,0.07142857142857142,6.642857142857142,6.928571428571428,27.07142857142857,88.07142857142857,66.78571428571428,115.14285714285714,188.57142857142856,38.714285714285715
P. spiralis,48.0,4.0,19.834710743801654,40.0,20.634920634920633,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,3.428571428571429,0.28571428571428575,3.714285714285714,345.4285714285714,360.2857142857143,1407.7142857142856,4579.714285714285,3472.8571428571427,5987.428571428571,9805.714285714284,2013.1428571428569
